연번,기준년도,업종,목적,적용공정,제공 제조AI데이터셋 명,제조AI데이터셋 내용,유형,사용조건,데이터셋 다운 링크
1,2020,정밀가공,생산공정 최적화,제관공정,제조 현장용 OCR학습 제조AI 데이터셋,저울에 표기된 무게를 OCR(Optical Character Recognition)기법으로 수기로 작성하던 숫자표기를 디지털화하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 충진과정에서 계측되는 무게를 저울의 LED 숫자표기를 디지털로 변환하여 무게입력의 자동화를 도모합니다.,jpg,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
2,2020,기타,예지보전,검사공정,Ford 엔진 진동 AI 데이터셋,"Ford사의 자동차 모터센서 오픈데이터소스를 사용하여 시간의 흐름에 따른 소음의 변화를 분석하고, 정상/비정상을 분류하는 것을 목적으로하는 제조 AI분석과정을 담은 데이터셋과 가이드북입니다.",txt,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
3,2020,정밀가공,생산공정 최적화,CNC 가공공정,CNC 머신 AI 데이터셋,"최적 가공조건 분석을 위한 CNC 머신 데이터, 가공불량을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. CNC 머신 부품들의 위치, 속도, 가속도, 전압, 전류 등의 데이터를 수집하고 딥뉴럴네트워크 알고리즘을 사용하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
4,2020,사출성형,품질보증,사출공정,사출성형기 AI 데이터셋,"사출 성형 최적 조건 분석을 위한 사출성형기 데이터, 플라스틱 성형법 중 하나인 사출성형품의 불량을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 사출성형기로부터 계량, 온도, 압력, 시간, 속도 관련된 데이터를 수집하여 오토인코더, 서포터벡터머신, 딥뉴럴네트워크 등 다양한 알고리즘을 학습시키고 예측율이 가장 좋은 최적의 알고리즘을 선별하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
5,2020,뿌리(용접접합),품질보증,용접공정,용접기 AI 데이터셋,"용접 불량 예측 분석을 위한 로봇 용접기 데이터, 용접 불량품을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 소재두께, 용접 가압력, 전류, 전압, 통전시간 데이터를 수집하고, 이상치 탐지 알고리즘을 사용하여 정확한 불량품 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
6,2020,사출성형,품질보증,품질외관검사공정,머신비전 AI 데이터셋,"열화상 이미지를 이용한 양/불량 판정을 위한 머신비전 데이터, 자동차 윈드실드 사이드 몰딩 사출품의 양품/불량품 판정을 위해 적외선 카메라를 사용하여 제품의 온도 분포에 따라 품질을 선별하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 사출 제품을 일정시간 안에 열화상 카메라로 촬영한 이미지 데이터를 수집하고 서포트벡터머신 알고리즘을 사용하여 정확한 불량품 선별을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
7,2020,뿌리(소성가공),생산공정 최적화,프레스공정,프레스기 AI 데이터셋,"프레스벤딩 성형 최적 조건 분석을 위한 프레스 가공 데이터, 프레스 생산품의 불량품을 예측하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 프레스속도, 프레스 압력 데이터를 수집하여 혼합 가우시안모델 알고리즘을 사용하여 정확한 불량품 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
8,2020,식품가공,품질보증,용해공정,용해탱크 AI 데이터셋,"식품 가공 공정에서의 품질 예측을 위한 원재료 공급설비(용해탱크) 데이터, 분말의 원재료를 정제수 등에 용해/혼합하는 과정에서 용해 탱크 설비운영값(용해온도, 교반속도, 수분함유량)을 기준으로 최종 품질을 예측하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 용해탱크의 데이터를 수집하여 LSTM알고리즘을 사용하여 예지적 품질분석을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
9,2020,식품가공,예지보전,용해공정,교반구동장치 AI 데이터셋,"3축(x,y,z) 진동데이터 기반 설비 예지보전을 위한 교반구동장치 데이터, 예지보전을 위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 분말의 원재료를 정제수 등에 녹이는 작업을 하는 설비가 표준운영절차서(Standard Operating Procedure)에 따라 셋팅 값대로 정상작동하는지 분석하는 것을 목표로합니다. 교반구동장치에 진동센서를 부착하여 수집한 데이터를 K-최근접이웃 알고리즘을 사용하여 동일하고 균일한 품질을 생산하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
10,2020,식품가공,품질보증,살균공정,살균기 AI 데이터셋,"식품 살균 공정에서의 품질 예측을 위한 살균기 데이터, 	원재료를 100℃ 이하의 온도에서 30분 이상 저온살균 및 교반작업 시, 설비운영값 (살균상태, 살균온도, 양품/불량여부)을 수집하여 최종 품질을 예측하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 살균기의 데이터를 수집하여 의사결정나무 알고리즘을 사용하여 품질 불량 선별에 중요한 설비운영 데이터를 선별하고, 그에 따른 품질 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
